fid,crs28992re,INDEX_WALK,num_inh_2
"123960",E1195N4827,"0.71","160"
"123961",E1196N4827,"0.73","60"
"123962",E1197N4827,"0.73","145"
"123963",E1198N4827,"0.74","160"
"123964",E1199N4827,"0.80","155"
"123965",E1200N4827,"0.80","135"
"123502",E1200N4829,"0.80","95"
"123501",E1199N4829,"0.77","95"
"123500",E1198N4829,"0.73","85"
"123499",E1197N4829,"0.73","55"
"123261",E1200N4830,"0.79","95"
"123260",E1199N4830,"0.74","120"
"123259",E1198N4830,"0.73","105"
"123258",E1197N4830,"0.73","60"
"123257",E1195N4830,"0.67","5"
"123035",E1200N4831,"0.75","135"
"123034",E1199N4831,"0.73","200"
"123033",E1198N4831,"0.73","260"
"123032",E1197N4831,"0.71","30"
"122812",E1200N4832,"0.73","145"
"122811",E1199N4832,"0.73","320"
"122810",E1198N4832,"0.72","620"
"122809",E1197N4832,"0.67","380"
"122597",E1199N4833,"0.73","60"
"122596",E1198N4833,"0.70","245"
"122595",E1196N4833,"0.67","15"
"122386",E1198N4834,"0.73","5"
"122385",E1197N4834,"0.69","10"
"121962",E1199N4836,"0.74","5"
"121736",E1200N4837,"0.80","50"
"121497",E1200N4838,"0.78","5"
"121496",E1198N4838,"0.79","20"
"121495",E1197N4838,"0.74","20"
"121494",E1196N4838,"0.73","35"
"121493",E1195N4838,"0.68","35"
"124863",E1197N4822,"0.53","220"
"124864",E1198N4822,"0.52","130"
"124705",E1210N4823,"0.57","70"
"124704",E1209N4823,"0.54","90"
"124703",E1208N4823,"0.53","55"
"124702",E1207N4823,"0.55","85"
"124701",E1206N4823,"0.59","185"
"124700",E1205N4823,"0.60","85"
"124699",E1204N4823,"0.60","130"
"124698",E1203N4823,"0.60","135"
"124697",E1202N4823,"0.59","55"
"124696",E1201N4823,"0.54","2"
"124695",E1200N4823,"0.54","95"
"124694",E1198N4823,"0.57","10"
"124693",E1195N4823,"0.53","70"
"124533",E1196N4824,"0.53","105"
"124160",E1195N4826,"0.63","50"
"124862",E1196N4822,"0.53","5"
"124861",E1195N4822,"0.49","130"
"125024",E1195N4821,"0.47","10"
"125206",E1195N4820,"0.46","45"
"116411",E1199N4856,"0.80","40"
"116412",E1200N4856,"0.84","110"
"116413",E1201N4856,"0.91","180"
"116414",E1202N4856,"0.93","115"
"116415",E1203N4856,"0.93","125"
"116416",E1207N4856,"0.93","60"
"116417",E1208N4856,"0.93","65"
"116418",E1209N4856,"0.93","175"
"116419",E1210N4856,"0.93","255"
"116420",E1211N4856,"0.93","135"
"116421",E1213N4856,"0.93","110"
"116422",E1214N4856,"0.93","70"
"116423",E1215N4856,"0.93","100"
"116424",E1216N4856,"0.94","50"
"116425",E1217N4856,"0.96","125"
"116426",E1218N4856,"0.98","110"
"116427",E1219N4856,"1.00","165"
"116428",E1220N4856,"0.94","160"
"116429",E1222N4856,"0.93","145"
"116430",E1223N4856,"0.86","260"
"116431",E1224N4856,"0.80","75"
"116432",E1225N4856,"0.81","200"
"116433",E1226N4856,"0.87","355"
"116434",E1227N4856,"0.87","110"
"116435",E1228N4856,"0.96","50"
"116436",E1229N4856,"0.99","95"
"116437",E1230N4856,"1.00","260"
"116438",E1231N4856,"1.00","300"
"116439",E1232N4856,"1.00","270"
"116440",E1233N4856,"1.00","270"
"116441",E1234N4856,"1.00","320"
"116442",E1235N4856,"1.00","215"
"116443",E1237N4856,"0.93","45"
"116444",E1238N4856,"0.93","65"
"116445",E1239N4856,"0.93","55"
"116446",E1240N4856,"0.93","250"
"116447",E1241N4856,"0.93","235"
"116448",E1242N4856,"0.93","55"
"116449",E1243N4856,"0.93","105"
"116450",E1244N4856,"0.93","60"
"116451",E1246N4856,"0.93","45"
"116452",E1247N4856,"0.90","65"
"116453",E1248N4856,"0.77","180"
"116454",E1249N4856,"0.67","175"
"116455",E1250N4856,"0.63","25"
"118873",E1200N4848,"0.74","30"
"118874",E1201N4848,"0.88","70"
"118875",E1202N4848,"0.93","100"
"118876",E1203N4848,"0.93","75"
"118877",E1204N4848,"0.93","55"
"118878",E1205N4848,"0.93","25"
"118879",E1206N4848,"0.93","55"
"118880",E1207N4848,"0.93","105"
"118881",E1208N4848,"0.93","65"
"118882",E1209N4848,"0.93","265"
"118883",E1210N4848,"0.93","265"
"118884",E1211N4848,"0.96","160"
"118885",E1212N4848,"0.98","150"
"118886",E1213N4848,"0.96","290"
"118887",E1214N4848,"0.93","240"
"118888",E1215N4848,"0.92","235"
"118889",E1216N4848,"0.87","280"
"118890",E1217N4848,"0.89","185"
"118891",E1218N4848,"0.89","270"
"118892",E1219N4848,"0.87","315"
"118893",E1220N4848,"0.86","225"
"118894",E1221N4848,"0.80","190"
"118895",E1222N4848,"0.80","245"
"118896",E1223N4848,"0.80","290"
"118897",E1224N4848,"0.80","125"
"118898",E1226N4848,"0.80","125"
"118899",E1227N4848,"0.85","185"
"118900",E1229N4848,"0.91","205"
"118901",E1230N4848,"0.93","60"
"118902",E1231N4848,"0.93","300"
"118903",E1232N4848,"0.89","90"
"118904",E1233N4848,"0.87","60"
"118905",E1235N4848,"0.93","105"
"118906",E1241N4848,"0.82","10"
"118907",E1242N4848,"0.80","140"
"118908",E1243N4848,"0.80","225"
"118909",E1244N4848,"0.80","160"
"118910",E1245N4848,"0.74","145"
"118911",E1246N4848,"0.67","140"
"118912",E1247N4848,"0.66","175"
"118913",E1248N4848,"0.61","100"
"116145",E1239N4857,"0.93","150"
"116144",E1238N4857,"0.93","25"
"116143",E1237N4857,"0.93","45"
"116142",E1236N4857,"0.96","155"
"116141",E1235N4857,"1.00","195"
"116140",E1234N4857,"1.00","190"
"116139",E1233N4857,"1.00","205"
"116138",E1232N4857,"1.00","200"
"116137",E1231N4857,"1.00","75"
"116136",E1228N4857,"0.98","75"
"116135",E1227N4857,"0.91","325"
"116134",E1226N4857,"0.87","375"
"116133",E1225N4857,"0.83","255"
"116132",E1224N4857,"0.83","15"
"116131",E1223N4857,"0.91","185"
"116130",E1222N4857,"0.93","175"
"116129",E1220N4857,"0.96","45"
"116128",E1219N4857,"1.00","75"
"116127",E1216N4857,"1.00","175"
"116126",E1215N4857,"0.98","235"
"115844",E1229N4858,"1.00","10"
"115843",E1228N4858,"0.97","155"
"115842",E1227N4858,"0.90","200"
"115841",E1226N4858,"0.87","135"
"115840",E1225N4858,"0.83","210"
"115839",E1224N4858,"0.86","5"
"115838",E1222N4858,"0.93","15"
"115837",E1220N4858,"0.95","70"
