fid,crs28992re,num_nonwes
"123960",E1195N4827,32.000
"123961",E1196N4827,42.000
"123962",E1197N4827,43.500
"123963",E1198N4827,48.000
"123964",E1199N4827,46.500
"123965",E1200N4827,27.000
"123502",E1200N4829,28.500
"123501",E1199N4829,28.500
"123500",E1198N4829,34.000
"123499",E1197N4829,16.500
"123261",E1200N4830,47.500
"123260",E1199N4830,48.000
"123259",E1198N4830,42.000
"123258",E1197N4830,18.000
"123035",E1200N4831,40.500
"123034",E1199N4831,40.000
"123033",E1198N4831,104.000
"123032",E1197N4831,6.000
"122812",E1200N4832,29.000
"122811",E1199N4832,128.000
"122810",E1198N4832,186.000
"122809",E1197N4832,152.000
"122597",E1199N4833,30.000
"122596",E1198N4833,73.500
"121736",E1200N4837,5.000
"121495",E1197N4838,4.000
"121493",E1195N4838,10.500
"124863",E1197N4822,66.000
"124864",E1198N4822,65.000
"124705",E1210N4823,14.000
"124704",E1209N4823,27.000
"124703",E1208N4823,22.000
"124702",E1207N4823,25.500
"124701",E1206N4823,55.500
"124700",E1205N4823,34.000
"124699",E1204N4823,52.000
"124698",E1203N4823,54.000
"124697",E1202N4823,16.500
"124695",E1200N4823,28.500
"124693",E1195N4823,21.000
"124533",E1196N4824,31.500
"124160",E1195N4826,15.000
"124861",E1195N4822,26.000
"125206",E1195N4820,13.500
"116412",E1200N4856,44.000
"116413",E1201N4856,54.000
"116414",E1202N4856,34.500
"116415",E1203N4856,50.000
"116416",E1207N4856,24.000
"116417",E1208N4856,19.500
"116418",E1209N4856,35.000
"116419",E1210N4856,76.500
"116420",E1211N4856,54.000
"116421",E1213N4856,22.000
"116422",E1214N4856,21.000
"116423",E1215N4856,40.000
"116425",E1217N4856,50.000
"116426",E1218N4856,22.000
"116427",E1219N4856,49.500
"116428",E1220N4856,48.000
"116429",E1222N4856,29.000
"116430",E1223N4856,52.000
"116431",E1224N4856,22.500
"116432",E1225N4856,20.000
"116433",E1226N4856,71.000
"116434",E1227N4856,33.000
"116435",E1228N4856,10.000
"116436",E1229N4856,19.000
"116437",E1230N4856,52.000
"116438",E1231N4856,60.000
"116439",E1232N4856,54.000
"116440",E1233N4856,81.000
"116441",E1234N4856,64.000
"116442",E1235N4856,43.000
"116444",E1238N4856,13.000
"116446",E1240N4856,50.000
"116447",E1241N4856,23.500
"116448",E1242N4856,5.500
"116449",E1243N4856,21.000
"116450",E1244N4856,6.000
"116451",E1246N4856,9.000
"116453",E1248N4856,54.000
"116454",E1249N4856,35.000
"116455",E1250N4856,5.000
"118874",E1201N4848,21.000
"118875",E1202N4848,40.000
"118876",E1203N4848,37.500
"118877",E1204N4848,16.500
"118881",E1208N4848,6.500
"118882",E1209N4848,79.500
"118883",E1210N4848,79.500
"118884",E1211N4848,48.000
"118885",E1212N4848,30.000
"118886",E1213N4848,87.000
"118887",E1214N4848,24.000
"118888",E1215N4848,23.500
"118889",E1216N4848,56.000
"118890",E1217N4848,37.000
"118891",E1218N4848,54.000
"118892",E1219N4848,63.000
"118893",E1220N4848,45.000
"118894",E1221N4848,19.000
"118895",E1222N4848,24.500
"118896",E1223N4848,29.000
"118897",E1224N4848,25.000
"118898",E1226N4848,25.000
"118899",E1227N4848,37.000
"118900",E1229N4848,41.000
"118901",E1230N4848,6.000
"118902",E1231N4848,60.000
"118903",E1232N4848,18.000
"118904",E1233N4848,6.000
"118905",E1235N4848,21.000
"118907",E1242N4848,42.000
"118908",E1243N4848,45.000
"118909",E1244N4848,32.000
"118910",E1245N4848,29.000
"118911",E1246N4848,28.000
"118912",E1247N4848,52.500
"118913",E1248N4848,30.000
"116145",E1239N4857,0.000
"116144",E1238N4857,5.000
"116143",E1237N4857,9.000
"116142",E1236N4857,31.000
"116141",E1235N4857,39.000
"116140",E1234N4857,38.000
"116139",E1233N4857,61.500
"116138",E1232N4857,40.000
"116136",E1228N4857,22.500
"116135",E1227N4857,97.500
"116134",E1226N4857,112.500
"116133",E1225N4857,51.000
"116132",E1224N4857,-14999.550
"116131",E1223N4857,55.500
"116130",E1222N4857,35.000
"116128",E1219N4857,30.000
"116127",E1216N4857,52.500
"116126",E1215N4857,47.000
"115843",E1228N4858,46.500
"115842",E1227N4858,60.000
"115841",E1226N4858,27.000
"115840",E1225N4858,42.000
"115835",E1216N4858,39.000
"115834",E1215N4858,33.000
"116125",E1214N4857,70.500
"115833",E1214N4858,42.000
"116124",E1213N4857,24.000
"116123",E1210N4857,28.500
"116122",E1209N4857,21.000
"116119",E1203N4857,10.500
"116118",E1202N4857,60.000
"116117",E1201N4857,56.000
"116146",E1240N4857,18.000
"116147",E1241N4857,30.000
"116148",E1242N4857,21.000
"116149",E1243N4857,73.000
"116150",E1244N4857,59.000
"116151",E1245N4857,69.000
"116152",E1246N4857,56.000
"116153",E1247N4857,18.000
"116154",E1248N4857,25.000
"118633",E1234N4849,6.500
"118632",E1233N4849,-54998.350
"118631",E1232N4849,7.000
"118630",E1231N4849,15.000
"118629",E1230N4849,16.500
"118628",E1229N4849,24.500
"118627",E1228N4849,67.000
"118626",E1227N4849,33.000
"118625",E1226N4849,76.500
"118622",E1223N4849,56.000
"118621",E1222N4849,59.000
"118620",E1221N4849,49.000
"118619",E1220N4849,50.000
"118618",E1219N4849,62.000
"118617",E1218N4849,69.000
"118616",E1217N4849,53.000
"118615",E1216N4849,40.500
"118614",E1215N4849,40.000
"118613",E1214N4849,54.000
"118612",E1213N4849,112.500
"118611",E1212N4849,120.000
"118610",E1211N4849,85.500
"118609",E1210N4849,103.500
"118608",E1209N4849,81.000
"118607",E1208N4849,18.000
"118606",E1207N4849,16.500
"118605",E1206N4849,23.000
"118604",E1205N4849,33.000
"118603",E1204N4849,18.000
"118634",E1235N4849,11.500
"118635",E1236N4849,12.000
"118636",E1241N4849,17.500
"118637",E1242N4849,31.000
"118638",E1243N4849,41.000
"118639",E1244N4849,37.000
"118640",E1245N4849,19.000
"118641",E1246N4849,7.000
"118642",E1247N4849,25.500
"118643",E1248N4849,16.000
"118644",E1249N4849,26.000
"118645",E1250N4849,14.000
"118301",E1201N4850,22.000
"118302",E1202N4850,16.000
"118303",E1203N4850,7.000
"118304",E1204N4850,37.000
"118305",E1205N4850,33.000
"118306",E1206N4850,59.000
"118307",E1207N4850,51.000
"118308",E1208N4850,27.000
"118309",E1209N4850,88.000
"118310",E1210N4850,116.000
"118311",E1211N4850,76.500
"118312",E1212N4850,37.000
"118313",E1213N4850,87.000
"118314",E1214N4850,138.000
"118315",E1215N4850,96.000
"118316",E1216N4850,94.000
"118317",E1217N4850,73.500
"118318",E1218N4850,109.500
"118319",E1219N4850,100.500
"118320",E1220N4850,51.000
"118321",E1221N4850,45.000
"118322",E1222N4850,21.000
"118323",E1223N4850,40.500
"118326",E1226N4850,85.500
"118327",E1228N4850,55.000
"118328",E1229N4850,18.500
"118329",E1230N4850,45.000
"118330",E1231N4850,66.000
"118331",E1232N4850,16.000
"118332",E1233N4850,10.500
"118334",E1235N4850,8.000
"118335",E1236N4850,34.000
"118336",E1237N4850,21.000
"118337",E1240N4850,25.000
"118338",E1241N4850,20.000
"118339",E1242N4850,57.000
"118340",E1243N4850,19.500
"118341",E1244N4850,29.000
"118342",E1245N4850,21.000
"118343",E1246N4850,54.000
"118344",E1247N4850,29.000
"118345",E1248N4850,42.000
"118346",E1249N4850,12.500
"118347",E1250N4850,-19999.400
"123966",E1201N4827,8.000
"123503",E1201N4829,14.000
"123262",E1201N4830,34.500
"122598",E1201N4833,-19999.400
"122813",E1201N4832,144.000
"123504",E1202N4829,27.500
"123263",E1202N4830,35.000
"122814",E1202N4832,6.000
"123505",E1203N4829,13.500
"123264",E1203N4830,20.000
"123506",E1204N4829,27.000
"123265",E1204N4830,33.000
"123266",E1205N4830,48.000
"123267",E1206N4830,18.000
"122815",E1206N4832,66.000
"123038",E1206N4831,102.000
"123268",E1207N4830,19.000
"122816",E1207N4832,38.000
"123039",E1207N4831,28.500
"118008",E1203N4851,96.000
"118009",E1204N4851,40.000
"118010",E1205N4851,54.000
"118011",E1206N4851,57.000
"118012",E1207N4851,96.000
"118013",E1208N4851,78.000
"118014",E1209N4851,99.000
"118015",E1210N4851,77.000
"118016",E1211N4851,58.000
"118017",E1212N4851,85.500
"118018",E1213N4851,60.000
"118020",E1215N4851,75.000
"118021",E1216N4851,42.000
"118022",E1217N4851,100.000
"118023",E1218N4851,129.000
"118024",E1219N4851,70.000
"118025",E1220N4851,96.000
"118026",E1221N4851,50.000
"118027",E1222N4851,25.500
"118029",E1224N4851,16.500
"118030",E1225N4851,58.000
"118031",E1226N4851,33.000
"118032",E1227N4851,12.000
"118033",E1228N4851,12.500
"118034",E1229N4851,42.000
"118035",E1230N4851,42.500
"118036",E1231N4851,29.000
"118037",E1232N4851,29.500
"118038",E1233N4851,16.500
"118039",E1234N4851,16.000
"118040",E1235N4851,33.000
"118041",E1236N4851,21.500
"118042",E1237N4851,55.000
"118043",E1238N4851,12.000
"118044",E1239N4851,9.500
"118045",E1240N4851,26.000
"118046",E1241N4851,49.500
"118047",E1242N4851,42.000
"118048",E1243N4851,30.000
"118050",E1245N4851,25.000
"118051",E1246N4851,16.000
"118052",E1247N4851,16.000
"118053",E1248N4851,5.000
"121505",E1220N4838,53.000
"121504",E1219N4838,56.000
"121503",E1218N4838,38.000
"121502",E1217N4838,61.000
"121501",E1216N4838,48.000
"121500",E1215N4838,43.000
"121499",E1214N4838,37.000
"121498",E1213N4838,15.000
"121240",E1220N4839,42.000
"121239",E1219N4839,61.000
"121238",E1218N4839,24.500
"119690",E1220N4845,13.500
"119689",E1219N4845,27.000
"119688",E1218N4845,53.000
"119687",E1217N4845,45.000
"119686",E1216N4845,38.000
"119685",E1215N4845,24.000
"119684",E1214N4845,21.000
"119681",E1211N4845,41.000
"119680",E1210N4845,76.500
"119679",E1209N4845,58.500
"119678",E1208N4845,11.000
"120719",E1209N4841,28.000
"120720",E1210N4841,15.000
"120721",E1211N4841,-19999.400
"120722",E1212N4841,34.000
"120723",E1213N4841,43.500
"120724",E1214N4841,45.000
"120725",E1215N4841,49.000
"120726",E1216N4841,60.000
"120727",E1217N4841,32.000
"120728",E1218N4841,37.000
"120729",E1219N4841,78.000
"120731",E1221N4841,62.000
"120732",E1222N4841,9.500
"120733",E1223N4841,37.000
"120734",E1224N4841,39.000
"120735",E1225N4841,30.000
"120736",E1226N4841,10.500
"120738",E1228N4841,100.000
"120739",E1231N4841,9.000
"120740",E1232N4841,10.000
"120741",E1233N4841,12.500
"120742",E1234N4841,13.000
"120743",E1235N4841,14.500
"120744",E1236N4841,19.000
"120745",E1237N4841,9.000
"120746",E1238N4841,-24999.250
"122390",E1218N4834,-29999.100
"122389",E1215N4834,98.000
"122388",E1214N4834,29.000
"122387",E1213N4834,15.000
"122178",E1218N4835,20.500
"122176",E1216N4835,19.000
"122175",E1215N4835,12.000
"122174",E1214N4835,10.000
"122173",E1213N4835,33.000
"121969",E1218N4836,71.000
"121968",E1217N4836,11.000
"121967",E1216N4836,19.000
"121966",E1215N4836,25.000
"121965",E1214N4836,31.000
"121964",E1213N4836,38.000
"121744",E1220N4837,33.000
"121742",E1218N4837,30.000
"121741",E1217N4837,9.000
"121740",E1216N4837,6.500
"121739",E1215N4837,6.500
"121737",E1213N4837,16.500
"122604",E1226N4833,31.000
"122820",E1226N4832,15.000
"122821",E1227N4832,36.000
"123040",E1209N4831,55.500
"119414",E1209N4846,37.000
"119415",E1210N4846,35.000
"119416",E1211N4846,57.000
"119417",E1214N4846,31.500
"119418",E1215N4846,57.000
"119419",E1216N4846,36.000
"119420",E1217N4846,4.500
"119421",E1218N4846,11.000
"119422",E1219N4846,66.000
"119423",E1220N4846,34.000
"119424",E1221N4846,23.500
"119425",E1222N4846,97.500
"119426",E1223N4846,44.000
"119427",E1224N4846,42.000
"119429",E1226N4846,10.500
"119431",E1230N4846,13.000
"119432",E1231N4846,13.000
"119433",E1232N4846,110.000
"119434",E1233N4846,31.000
"119435",E1240N4846,13.500
"119436",E1241N4846,20.000
"119437",E1242N4846,34.500
