fid,crs28992re,FMC_INDEX_SOC_Num_65+rea,FMC_INDEX_FOOT_FMC_INDEX_SOC_Num_65+rea
"123960",E1195N4827,"125","125"
"123961",E1196N4827,"2","2"
"123962",E1197N4827,"25","25"
"123963",E1198N4827,"25","25"
"123964",E1199N4827,"30","30"
"123965",E1200N4827,"30","30"
"123502",E1200N4829,"10","10"
"123501",E1199N4829,"15","15"
"123500",E1198N4829,"15","15"
"123499",E1197N4829,"15","15"
"123261",E1200N4830,"10","10"
"123260",E1199N4830,"15","15"
"123259",E1198N4830,"15","15"
"123258",E1197N4830,"15","15"
"123257",E1195N4830,"2","2"
"123035",E1200N4831,"2","2"
"123034",E1199N4831,"25","25"
"123033",E1198N4831,"45","45"
"123032",E1197N4831,"2","2"
"122812",E1200N4832,"10","10"
"122811",E1199N4832,"20","20"
"122810",E1198N4832,"25","25"
"122809",E1197N4832,"20","20"
"122597",E1199N4833,"2","2"
"122596",E1198N4833,"15","15"
"122595",E1196N4833,"2","2"
"122386",E1198N4834,"2","2"
"122385",E1197N4834,"2","2"
"121962",E1199N4836,"2","2"
"121736",E1200N4837,"2","2"
"121497",E1200N4838,"2","2"
"121496",E1198N4838,"2","2"
"121495",E1197N4838,"10","10"
"121494",E1196N4838,"5","5"
"121493",E1195N4838,"5","5"
"124863",E1197N4822,"40","40"
"124864",E1198N4822,"10","10"
"124705",E1210N4823,"35","35"
"124704",E1209N4823,"50","50"
"124703",E1208N4823,"20","20"
"124702",E1207N4823,"10","10"
"124701",E1206N4823,"25","25"
"124700",E1205N4823,"10","10"
"124699",E1204N4823,"20","20"
"124698",E1203N4823,"20","20"
"124697",E1202N4823,"15","15"
"124696",E1201N4823,"2","2"
"124695",E1200N4823,"10","10"
"124694",E1198N4823,"2","2"
"124693",E1195N4823,"30","30"
"124533",E1196N4824,"20","20"
"124160",E1195N4826,"15","15"
"124862",E1196N4822,"2","2"
"124861",E1195N4822,"105","105"
"125024",E1195N4821,"5","5"
"125206",E1195N4820,"2","2"
"116411",E1199N4856,"10","10"
"116412",E1200N4856,"15","15"
"116413",E1201N4856,"20","20"
"116414",E1202N4856,"10","10"
"116415",E1203N4856,"15","15"
"116416",E1207N4856,"10","10"
"116417",E1208N4856,"10","10"
"116418",E1209N4856,"25","25"
"116419",E1210N4856,"25","25"
"116420",E1211N4856,"25","25"
"116421",E1213N4856,"10","10"
"116422",E1214N4856,"2","2"
"116423",E1215N4856,"10","10"
"116424",E1216N4856,"10","10"
"116425",E1217N4856,"2","2"
"116426",E1218N4856,"2","2"
"116427",E1219N4856,"5","5"
"116428",E1220N4856,"15","15"
"116429",E1222N4856,"15","15"
"116430",E1223N4856,"15","15"
"116431",E1224N4856,"2","2"
"116432",E1225N4856,"35","35"
"116433",E1226N4856,"35","35"
"116434",E1227N4856,"5","5"
"116435",E1228N4856,"5","5"
"116436",E1229N4856,"30","30"
"116437",E1230N4856,"45","45"
"116438",E1231N4856,"20","20"
"116439",E1232N4856,"40","40"
"116440",E1233N4856,"35","35"
"116441",E1234N4856,"25","25"
"116442",E1235N4856,"15","15"
"116443",E1237N4856,"5","5"
"116444",E1238N4856,"25","25"
"116445",E1239N4856,"35","35"
"116446",E1240N4856,"45","45"
"116447",E1241N4856,"15","15"
"116448",E1242N4856,"5","5"
"116449",E1243N4856,"10","10"
"116450",E1244N4856,"15","15"
"116451",E1246N4856,"5","5"
"116452",E1247N4856,"5","5"
"116453",E1248N4856,"15","15"
"116454",E1249N4856,"5","5"
"116455",E1250N4856,"2","2"
"118873",E1200N4848,"2","2"
"118874",E1201N4848,"15","15"
"118875",E1202N4848,"10","10"
"118876",E1203N4848,"15","15"
"118877",E1204N4848,"5","5"
"118878",E1205N4848,"2","2"
"118879",E1206N4848,"35","35"
"118880",E1207N4848,"65","65"
"118881",E1208N4848,"40","40"
"118882",E1209N4848,"20","20"
"118883",E1210N4848,"25","25"
"118884",E1211N4848,"20","20"
"118885",E1212N4848,"25","25"
"118886",E1213N4848,"30","30"
"118887",E1214N4848,"50","50"
"118888",E1215N4848,"45","45"
"118889",E1216N4848,"55","55"
"118890",E1217N4848,"40","40"
"118891",E1218N4848,"55","55"
"118892",E1219N4848,"40","40"
"118893",E1220N4848,"30","30"
"118894",E1221N4848,"25","25"
"118895",E1222N4848,"35","35"
"118896",E1223N4848,"55","55"
"118897",E1224N4848,"25","25"
"118898",E1226N4848,"25","25"
"118899",E1227N4848,"30","30"
"118900",E1229N4848,"45","45"
"118901",E1230N4848,"2","2"
"118902",E1231N4848,"5","5"
"118903",E1232N4848,"2","2"
"118904",E1233N4848,"10","10"
"118905",E1235N4848,"10","10"
"118906",E1241N4848,"2","2"
"118907",E1242N4848,"20","20"
"118908",E1243N4848,"15","15"
"118909",E1244N4848,"25","25"
"118910",E1245N4848,"45","45"
"118911",E1246N4848,"10","10"
"118912",E1247N4848,"20","20"
"118913",E1248N4848,"10","10"
"116145",E1239N4857,"20","20"
"116144",E1238N4857,"2","2"
"116143",E1237N4857,"2","2"
"116142",E1236N4857,"20","20"
"116141",E1235N4857,"55","55"
"116140",E1234N4857,"20","20"
"116139",E1233N4857,"75","75"
"116138",E1232N4857,"25","25"
"116137",E1231N4857,"15","15"
"116136",E1228N4857,"10","10"
"116135",E1227N4857,"15","15"
"116134",E1226N4857,"25","25"
"116133",E1225N4857,"20","20"
"116132",E1224N4857,"2","2"
"116131",E1223N4857,"2","2"
"116130",E1222N4857,"35","35"
"116129",E1220N4857,"5","5"
"116128",E1219N4857,"10","10"
"116127",E1216N4857,"30","30"
"116126",E1215N4857,"35","35"
"115844",E1229N4858,"2","2"
"115843",E1228N4858,"10","10"
"115842",E1227N4858,"30","30"
"115841",E1226N4858,"15","15"
"115840",E1225N4858,"20","20"
"115839",E1224N4858,"2","2"
"115838",E1222N4858,"2","2"
"115837",E1220N4858,"25","25"
"115836",E1219N4858,"10","10"
"115835",E1216N4858,"10","10"
"115834",E1215N4858,"15","15"
"116125",E1214N4857,"50","50"
"115833",E1214N4858,"15","15"
"116124",E1213N4857,"15","15"
"116123",E1210N4857,"15","15"
"116122",E1209N4857,"15","15"
