fid,crs28992re,1COR_DEN_INDEX_WALK,NUMNONWEST
"123960",E1195N4827,"0.71","16"
"123961",E1196N4827,"0.73","12"
"123962",E1197N4827,"0.73","44"
"123963",E1198N4827,"0.74","48"
"123964",E1199N4827,"0.80","47"
"123965",E1200N4827,"0.80","41"
"123502",E1200N4829,"0.80","29"
"123501",E1199N4829,"0.77","29"
"123500",E1198N4829,"0.73","26"
"123499",E1197N4829,"0.73","11"
"123261",E1200N4830,"0.79","29"
"123260",E1199N4830,"0.74","36"
"123259",E1198N4830,"0.73","32"
"123258",E1197N4830,"0.73","18"
"123035",E1200N4831,"0.75","27"
"123034",E1199N4831,"0.73","40"
"123033",E1198N4831,"0.73","52"
"123032",E1197N4831,"0.71","15"
"122812",E1200N4832,"0.73","102"
"122811",E1199N4832,"0.73","96"
"122810",E1198N4832,"0.72","186"
"122809",E1197N4832,"0.67","76"
"122597",E1199N4833,"0.73","18"
"122596",E1198N4833,"0.70","98"
"121736",E1200N4837,"0.80","45"
"121495",E1197N4838,"0.74","6"
"121493",E1195N4838,"0.68","11"
"124863",E1197N4822,"0.53","66"
"124864",E1198N4822,"0.52","39"
"124705",E1210N4823,"0.57","7"
"124704",E1209N4823,"0.54","9"
"124703",E1208N4823,"0.53","6"
"124702",E1207N4823,"0.55","26"
"124701",E1206N4823,"0.59","56"
"124700",E1205N4823,"0.60","26"
"124699",E1204N4823,"0.60","39"
"124698",E1203N4823,"0.60","41"
"124697",E1202N4823,"0.59","17"
"124695",E1200N4823,"0.54","29"
"124693",E1195N4823,"0.53","14"
"124533",E1196N4824,"0.53","21"
"124160",E1195N4826,"0.63","5"
"124861",E1195N4822,"0.49","26"
"125206",E1195N4820,"0.46","18"
"116412",E1200N4856,"0.84","11"
"116413",E1201N4856,"0.91","36"
"116414",E1202N4856,"0.93","0"
"116415",E1203N4856,"0.93","25"
"116416",E1207N4856,"0.93","12"
"116417",E1208N4856,"0.93","7"
"116418",E1209N4856,"0.93","35"
"116419",E1210N4856,"0.93","51"
"116420",E1211N4856,"0.93","27"
"116421",E1213N4856,"0.93","33"
"116422",E1214N4856,"0.93","21"
"116423",E1215N4856,"0.93","20"
"116425",E1217N4856,"0.96","25"
"116426",E1218N4856,"0.98","11"
"116427",E1219N4856,"1.00","33"
"116428",E1220N4856,"0.94","16"
"116429",E1222N4856,"0.93","15"
"116430",E1223N4856,"0.86","52"
"116431",E1224N4856,"0.80","15"
"116432",E1225N4856,"0.81","100"
"116433",E1226N4856,"0.87","107"
"116434",E1227N4856,"0.87","33"
"116435",E1228N4856,"0.96","20"
"116436",E1229N4856,"0.99","38"
"116437",E1230N4856,"1.00","78"
"116438",E1231N4856,"1.00","90"
"116439",E1232N4856,"1.00","108"
"116440",E1233N4856,"1.00","54"
"116441",E1234N4856,"1.00","96"
"116442",E1235N4856,"1.00","65"
"116444",E1238N4856,"0.93","20"
"116446",E1240N4856,"0.93","25"
"116447",E1241N4856,"0.93","94"
"116448",E1242N4856,"0.93","22"
"116449",E1243N4856,"0.93","42"
"116450",E1244N4856,"0.93","36"
"116451",E1246N4856,"0.93","9"
"116453",E1248N4856,"0.77","36"
"116454",E1249N4856,"0.67","35"
"116455",E1250N4856,"0.63","13"
"118874",E1201N4848,"0.88","14"
"118875",E1202N4848,"0.93","20"
"118876",E1203N4848,"0.93","8"
"118877",E1204N4848,"0.93","11"
"118881",E1208N4848,"0.93","7"
"118882",E1209N4848,"0.93","27"
"118883",E1210N4848,"0.93","53"
"118884",E1211N4848,"0.96","32"
"118885",E1212N4848,"0.98","30"
"118886",E1213N4848,"0.96","116"
"118887",E1214N4848,"0.93","96"
"118888",E1215N4848,"0.92","118"
"118889",E1216N4848,"0.87","112"
"118890",E1217N4848,"0.89","37"
"118891",E1218N4848,"0.89","108"
"118892",E1219N4848,"0.87","126"
"118893",E1220N4848,"0.86","68"
"118894",E1221N4848,"0.80","76"
"118895",E1222N4848,"0.80","123"
"118896",E1223N4848,"0.80","174"
"118897",E1224N4848,"0.80","38"
"118898",E1226N4848,"0.80","25"
"118899",E1227N4848,"0.85","37"
"118900",E1229N4848,"0.91","62"
"118901",E1230N4848,"0.93","18"
"118902",E1231N4848,"0.93","30"
"118903",E1232N4848,"0.89","36"
"118904",E1233N4848,"0.87","30"
"118905",E1235N4848,"0.93","42"
"118907",E1242N4848,"0.80","28"
"118908",E1243N4848,"0.80","0"
"118909",E1244N4848,"0.80","32"
"118910",E1245N4848,"0.74","29"
"118911",E1246N4848,"0.67","14"
"118912",E1247N4848,"0.66","18"
"118913",E1248N4848,"0.61","20"
"116145",E1239N4857,"0.93","75"
"116144",E1238N4857,"0.93","8"
"116143",E1237N4857,"0.93","5"
"116142",E1236N4857,"0.96","31"
"116141",E1235N4857,"1.00","78"
"116140",E1234N4857,"1.00","38"
"116139",E1233N4857,"1.00","41"
"116138",E1232N4857,"1.00","40"
"116136",E1228N4857,"0.98","23"
"116135",E1227N4857,"0.91","33"
"116134",E1226N4857,"0.87","75"
"116133",E1225N4857,"0.83","102"
"116132",E1224N4857,"0.83","6"
