fid,crs28992re,FMC_INDEX_SOC_Num_65+rea,FMC_INDEX_FOOT_FMC_INDEX_SOC_Num_65+rea,FMC_INDEX_FOOT_CALC_FMC_PETAR_AMENITIES_FMC_INDEX_NON_Num_65+rea,1COR_DEN_INDEX_WALK
"123960",E1195N4827,"125","125","125","0.71"
"123961",E1196N4827,"2","2","2","0.73"
"123962",E1197N4827,"25","25","25","0.73"
"123963",E1198N4827,"25","25","25","0.74"
"123964",E1199N4827,"30","30","30","0.80"
"123965",E1200N4827,"30","30","30","0.80"
"123502",E1200N4829,"10","10","10","0.80"
"123501",E1199N4829,"15","15","15","0.77"
"123500",E1198N4829,"15","15","15","0.73"
"123499",E1197N4829,"15","15","15","0.73"
"123261",E1200N4830,"10","10","10","0.79"
"123260",E1199N4830,"15","15","15","0.74"
"123259",E1198N4830,"15","15","15","0.73"
"123258",E1197N4830,"15","15","15","0.73"
"123257",E1195N4830,"2","2","2","0.67"
"123035",E1200N4831,"2","2","2","0.75"
"123034",E1199N4831,"25","25","25","0.73"
"123033",E1198N4831,"45","45","45","0.73"
"123032",E1197N4831,"2","2","2","0.71"
"122812",E1200N4832,"10","10","10","0.73"
"122811",E1199N4832,"20","20","20","0.73"
"122810",E1198N4832,"25","25","25","0.72"
"122809",E1197N4832,"20","20","20","0.67"
"122597",E1199N4833,"2","2","2","0.73"
"122596",E1198N4833,"15","15","15","0.70"
"122595",E1196N4833,"2","2","2","0.67"
"122386",E1198N4834,"2","2","2","0.73"
"122385",E1197N4834,"2","2","2","0.69"
"121962",E1199N4836,"2","2","2","0.74"
"121736",E1200N4837,"2","2","2","0.80"
"121497",E1200N4838,"2","2","2","0.78"
"121496",E1198N4838,"2","2","2","0.79"
"121495",E1197N4838,"10","10","10","0.74"
"121494",E1196N4838,"5","5","5","0.73"
"121493",E1195N4838,"5","5","5","0.68"
"124863",E1197N4822,"40","40","40","0.53"
"124864",E1198N4822,"10","10","10","0.52"
