fid,crs28992re,num_inhabi,num_0_15,num_15_25,num_25_45,num_45_65,num_65+,per_dutch,per_west,per_nonwes,avg_woz,num_social,Dis_Bicycl,Dis_Bicy_1,Dis_Bowlin,Dis_Bowl_1,Dis_Cinema,Dis_Cine_1,Dis_CityOf,Dis_City_1,Dis_Doctor,Dis_Doct_1,Dis_IceCre,Dis_IceC_1,Dis_Librar,Dis_Libr_1,Dis_Market,Dis_Mark_1,Dis_MetroS,Dis_Metr_1,Dis_Park_C,Dis_Park_1,Dis_Playgr,Dis_Play_1,Dis_School,Dis_Scho_1,Dis_Superm,Dis_Supe_1,Dis_Swimmi,Dis_Swim_1,Dis_TramSt,Dis_Tram_1,INDEX_WALK,VALUEPET,num_inh_2,,CR_FOOT_I,Old People_per_old_65
123960,E1195N4827,160,10,-99997,5,20,125,70,20,10,521,-99997,10004.01117,100,10004.01117,100,10004.01117,100,0,0,6347.283527,63.44738542,10004.01117,100,10004.01117,100,0,0,10004.01117,100,10004.01117,100,10004.01117,100,0,0,10004.01117,100,0,0,10004.01117,100,0.71,113.6,160,140.48,0.878,78
123961,E1196N4827,60,10,10,30,10,-99997,10,70,20,464,5,10004.01204,100,10004.01204,100,10004.01204,100,0,0,10004.01204,100,10004.01204,100,10004.01204,100,0,0,10004.01204,100,10004.01204,100,10004.01204,100,0,0,10004.01204,100,0,0,10004.01204,100,0.73,43.8,60,60,1,3
123962,E1197N4827,145,20,20,60,25,25,40,30,30,364,15,10004.01291,100,10004.01291,100,10004.01291,100,0,0,10004.01291,100,10004.01291,100,10004.01291,100,0,0,10004.01291,100,10004.01291,100,10004.01291,100,0,0,10004.01291,100,0,0,10004.01291,100,0.73,105.85,145,145,1,17
123963,E1198N4827,160,25,25,55,25,25,40,30,30,351,15,10004.01378,100,10004.01378,100,10004.01378,100,0,0,10004.01378,100,10004.01378,100,10004.01378,100,1374.074014,13.73522712,10004.01378,100,10004.01378,100,10004.01378,100,0,0,10004.01378,100,0,0,10004.01378,100,0.74,118.4,160,160,1,16
123964,E1199N4827,155,10,30,55,25,30,40,30,30,350,10,10004.01464,100,10004.01464,100,10004.01464,100,0,0,10004.01464,100,10004.01464,100,10004.01464,100,9694.603753,96.90713282,10004.01464,100,10004.01464,100,10004.01464,100,0,0,10004.01464,100,0,0,10004.01464,100,0.8,124,155,155,1,19
123965,E1200N4827,135,15,15,45,35,30,50,20,30,335,20,10004.0155,100,10004.0155,100,10004.0155,100,0,0,10004.0155,100,10004.0155,100,10004.0155,100,10004.0155,100,10004.0155,100,10004.0155,100,10004.0155,100,0,0,10004.0155,100,0,0,10004.0155,100,0.8,108,135,135,1,22
123502,E1200N4829,95,10,15,45,20,10,40,30,30,361,-99997,10004.01454,100,10004.01454,100,10004.01454,100,0,0,10004.01454,100,10004.01454,100,10004.01454,100,10004.01454,100,10004.01454,100,10004.01454,100,10004.01454,100,0,0,10004.01454,100,0,0,10004.01454,100,0.8,76,95,95,1,11
123501,E1199N4829,95,10,10,40,15,15,40,30,30,347,5,10004.01368,100,10004.01368,100,10004.01368,100,0,0,10004.01368,100,10004.01368,100,10004.01368,100,5848.98413,58.46637479,10004.01368,100,10004.01368,100,10004.01368,100,0,0,10004.01368,100,0,0,10004.01368,100,0.77,73.15,95,95,1,16
123500,E1198N4829,85,5,-99997,50,15,15,30,40,30,338,10,10004.01281,100,10004.01281,100,10004.01281,100,0,0,10004.01281,100,10004.01281,100,10004.01281,100,0,0,10004.01281,100,10004.01281,100,10004.01281,100,0,0,10004.01281,100,0,0,10004.01281,100,0.73,62.05,85,85,1,18
123499,E1197N4829,55,-99997,5,20,10,15,50,30,20,326,10,10004.01195,100,10004.01195,100,10004.01195,100,0,0,10004.01195,100,10004.01195,100,10004.01195,100,0,0,10004.01195,100,10004.01195,100,10004.01195,100,0,0,10004.01195,100,0,0,10004.01195,100,0.73,40.15,55,55,1,27
123261,E1200N4830,95,15,15,40,15,10,20,50,30,365,5,10004.01405,100,10004.01405,100,10004.01405,100,0,0,10004.01405,100,10004.01405,100,10004.01405,100,8779.576922,87.7605417,10004.01405,100,10004.01405,100,10004.01405,100,0,0,10004.01405,100,0,0,10004.01405,100,0.79,75.05,95,95,1,11
123260,E1199N4830,120,20,15,55,15,15,30,40,30,364,-99997,10004.01319,100,10004.01319,100,10004.01319,100,0,0,10004.01319,100,10004.01319,100,10004.01319,100,631.0367303,6.307835848,10004.01319,100,10004.01319,100,10004.01319,100,0,0,10004.01319,100,0,0,10004.01319,100,0.74,88.8,120,120,1,13
123259,E1198N4830,105,15,10,40,30,15,30,40,30,361,15,10004.01233,100,10004.01233,100,10004.01233,100,0,0,10004.01233,100,10004.01233,100,10004.01233,100,0,0,10004.01233,100,10004.01233,100,10004.01233,100,0,0,10004.01233,100,0,0,10004.01233,100,0.73,76.65,105,105,1,14
123258,E1197N4830,60,-99997,-99997,25,10,15,30,30,30,357,10,10004.01146,100,10004.01146,100,10004.01146,100,0,0,10004.01146,100,10004.01146,100,10004.01146,100,0,0,10004.01146,100,10004.01146,100,10004.01146,100,0,0,10004.01146,100,0,0,10004.01146,100,0.73,43.8,60,60,1,25
123257,E1195N4830,5,-99997,-99997,5,-99997,-99997,-99997,-99997,-99997,-99997,-99997,10004.00973,100,10004.00973,100,10004.00973,100,0,0,0,0,10004.00973,100,10004.00973,100,0,0,10004.00973,100,10004.00973,100,10004.00973,100,0,0,10004.00973,100,0,0,10004.00973,100,0.67,3.35,5,3.335,0.667,40
123035,E1200N4831,135,5,-99997,120,5,-99997,50,30,20,378,-99997,10004.01356,100,10004.01356,100,10004.01356,100,0,0,10004.01356,100,10004.01356,100,10004.01356,100,2285.419232,22.84502333,10004.01356,100,10004.01356,100,10004.01356,100,0,0,10004.01356,100,0,0,10004.01356,100,0.75,101.25,135,135,1,1
123034,E1199N4831,200,5,10,140,20,25,60,20,20,359,15,10004.0127,100,10004.0127,100,10004.0127,100,0,0,10004.0127,100,10004.0127,100,10004.0127,100,0,0,10004.0127,100,10004.0127,100,10004.0127,100,0,0,10004.0127,100,0,0,10004.0127,100,0.73,146,200,200,1,13
123033,E1198N4831,260,15,80,110,15,45,40,40,20,401,10,10004.01184,100,10004.01184,100,10004.01184,100,0,0,10004.01184,100,10004.01184,100,10004.01184,100,0,0,10004.01184,100,10004.01184,100,10004.01184,100,0,0,10004.01184,100,0,0,10004.01184,100,0.73,189.8,260,260,1,17
123032,E1197N4831,30,-99997,-99997,25,5,-99997,30,20,50,-99997,-99997,10004.01098,100,10004.01098,100,10004.01098,100,0,0,6675.350916,66.72674522,10004.01098,100,10004.01098,100,0,0,10004.01098,100,10004.01098,100,10004.01098,100,0,0,10004.01098,100,0,0,10004.01098,100,0.71,21.3,30,26.67,0.889,7
122812,E1200N4832,145,10,5,90,25,10,20,20,70,992,-99997,10004.01307,100,10004.01307,100,10004.01307,100,0,0,10004.01307,100,10004.01307,100,10004.01307,100,0,0,10004.01307,100,10004.01307,100,10004.01307,100,0,0,10004.01307,100,0,0,10004.01307,100,0.73,105.85,145,145,1,7
122811,E1199N4832,320,40,15,155,85,20,30,40,30,669,10,10004.01221,100,10004.01221,100,10004.01221,100,0,0,10004.01221,100,10004.01221,100,10004.01221,100,0,0,10004.01221,100,10004.01221,100,10004.01221,100,0,0,10004.01221,100,0,0,10004.01221,100,0.73,233.6,320,320,1,6
122810,E1198N4832,620,105,45,350,95,25,40,30,30,614,30,10004.01135,100,10004.01135,100,10004.01135,100,0,0,8233.643183,82.30341704,10004.01135,100,10004.01135,100,0,0,10004.01135,100,10004.01135,100,10004.01135,100,0,0,10004.01135,100,0,0,10004.01135,100,0.72,446.4,620,583.42,0.941,4
122809,E1197N4832,380,35,20,265,40,20,40,40,20,612,10,10004.01049,100,10004.01049,100,10004.01049,100,0,0,436.7367118,4.365616293,10004.01049,100,10004.01049,100,0,0,10004.01049,100,10004.01049,100,10004.01049,100,0,0,10004.01049,100,0,0,10004.01049,100,0.67,254.6,380,258.78,0.681,5
122597,E1199N4833,60,10,-99997,45,5,-99997,10,50,30,656,-99997,10004.01172,100,10004.01172,100,10004.01172,100,0,0,10004.01172,100,10004.01172,100,10004.01172,100,0,0,10004.01172,100,10004.01172,100,10004.01172,100,0,0,10004.01172,100,0,0,10004.01172,100,0.73,43.8,60,60,1,3
122596,E1198N4833,245,35,15,130,50,15,30,30,40,908,10,10004.01086,100,10004.01086,100,10004.01086,100,0,0,4368.007057,43.66255813,10004.01086,100,10004.01086,100,0,0,10004.01086,100,10004.01086,100,10004.01086,100,0,0,10004.01086,100,0,0,10004.01086,100,0.7,171.5,245,198.94,0.812,6
122595,E1196N4833,15,-99997,-99997,10,-99997,-99997,-99997,-99997,-99997,-99997,-99997,10004.00913,100,10004.00913,100,10004.00913,100,0,0,0,0,10004.00913,100,10004.00913,100,0,0,10004.00913,100,10004.00913,100,10004.00913,100,0,0,10004.00913,100,0,0,10004.00913,100,0.67,10.05,15,10.005,0.667,13
122386,E1198N4834,5,-99997,-99997,5,-99997,-99997,-99997,-99997,-99997,-99997,-99997,10004.01036,100,10004.01036,100,10004.01036,100,0,0,9854.432993,98.50482592,10004.01036,100,10004.01036,100,0,0,10004.01036,100,10004.01036,100,10004.01036,100,0,0,10004.01036,100,0,0,10004.01036,100,0.73,3.65,5,4.975,0.995,40
122385,E1197N4834,10,-99997,-99997,5,-99997,-99997,-99997,-99997,-99997,-99997,-99997,10004.0095,100,10004.0095,100,10004.0095,100,0,0,4021.293124,40.19681433,10004.0095,100,10004.0095,100,0,0,10004.0095,100,10004.0095,100,10004.0095,100,0,0,10004.0095,100,0,0,10004.0095,100,0.69,6.9,10,8.01,0.801,20
121962,E1199N4836,5,-99997,-99997,5,-99997,-99997,-99997,-99997,-99997,-99997,-99997,10004.01023,100,10004.01023,100,10004.01023,100,0,0,10004.01023,100,10004.01023,100,10004.01023,100,0,0,10004.01023,100,10004.01023,100,10004.01023,100,475.5543968,4.753637652,10004.01023,100,0,0,10004.01023,100,0.74,3.7,5,5,1,40
121736,E1200N4837,50,-99997,-99997,45,-99997,-99997,-99997,10,90,-99997,-99997,10004.01059,100,10004.01059,100,10004.01059,100,0,0,10004.01059,100,10004.01059,100,10004.01059,100,0,0,10004.01059,100,10004.01059,100,10004.01059,100,10004.01059,100,10004.01059,100,0,0,10004.01059,100,0.8,40,50,50,1,4
121497,E1200N4838,5,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,10004.01008,100,10004.01008,100,7304.902545,73.01974394,0,0,10004.01008,100,10004.01008,100,10004.01008,100,0,0,10004.01008,100,10004.01008,100,10004.01008,100,10004.01008,100,10004.01008,100,0,0,10004.01008,100,0.78,3.9,5,5,1,40
121496,E1198N4838,20,5,-99997,-99997,5,-99997,70,-99997,-99997,-99997,-99997,10004.00836,100,10004.00836,100,10004.00836,100,0,0,10004.00836,100,10004.00836,100,10004.00836,100,0,0,10004.00836,100,10004.00836,100,10004.00836,100,8527.412082,85.23995358,10004.00836,100,0,0,10004.00836,100,0.79,15.8,20,20,1,10
