ZONE_NAME,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr,,,,,,,
Outer,2985,567,0,0.965,0.965,1527.104,0.51159263,0.533,0.214176519,0.001,0.733,0.4,0.667,0.267,,,,,,,
Middle,3342,655,0,1,1,2237.161,0.66940784,0.731,0.227571223,0.047,0.8,0.531,0.865,0.334,,,,,,,
Centra,647,223,0.468,1,0.532,526.787,0.814199382,0.812,0.096010909,0.468,0.867,0.7545,0.867,0.1125,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,KORISTITI MEAN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FOOT,,,FOOT SLOW,
,,,,,,,,,,,,,,,,,WEIGHTED INDEX FOOT,0.68,,WEIGHTED INDEX FOOT,0.5
,,,Zone,Count,Population,,Mean,Weigh. Average,,,,,FOOT CITY,,,,AVERAGE,0.61,,AVERAGE,0.44
,,,Central,10,86302,,0.51159263,0.815635791,,,,,WEIGHTED INDEX FOOT,0.679393353,,,,,,,
,,,Middle,58,472405,,0.66940784,0.727742086,,,,,AVERAGE,0.615093203,,,,,,,
,,,Outer,31,313234,,0.814199382,0.569551837,,,,,,,,,,,,,
,,,,,,,,,,,,,AVERAGE CRITICAl,0.809045455,,,CYCLE,,,CYCLE SLOW,
,,,,,,,,,,,,,WEIGHTED INDEX FOOT,0.864951063,,,WEIGHTED INDEX FOOT,0.93,,WEIGHTED INDEX FOOT,0.87
,,,,,,,,,,,,,,,,,AVERAGE,0.9,,AVERAGE,0.82
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,POPULATION,,,,,,,,,,
,,,,,,,,,,,OLD,113298,,,,,WALKING GROUPS (WEIGHTED) AMSTERDAM,,,,
,,,,,,,,,,,NON,205000,,,,,OLD,0.68,,,
,,,,,,,,,,,SOCIAL,75500,,,,,NON-WESTERN,0.61,,,
,,,,,,,,,,,,,,,,,SOCIAL HELP,0.69,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OLD SLOW,0.5,,,
