fid,crs28992re,num_social,INDEX_WALK
"123961",E1196N4827,"5","0.73"
"123962",E1197N4827,"15","0.73"
"123963",E1198N4827,"15","0.74"
"123964",E1199N4827,"10","0.80"
"123965",E1200N4827,"20","0.80"
"123501",E1199N4829,"5","0.77"
"123500",E1198N4829,"10","0.73"
"123499",E1197N4829,"10","0.73"
"123261",E1200N4830,"5","0.79"
"123259",E1198N4830,"15","0.73"
"123258",E1197N4830,"10","0.73"
"123034",E1199N4831,"15","0.73"
"123033",E1198N4831,"10","0.73"
"122811",E1199N4832,"10","0.73"
"122810",E1198N4832,"30","0.72"
"122809",E1197N4832,"10","0.67"
"122596",E1198N4833,"10","0.70"
"124863",E1197N4822,"15","0.53"
"124703",E1208N4823,"5","0.53"
"124702",E1207N4823,"5","0.55"
"124701",E1206N4823,"15","0.59"
"124699",E1204N4823,"5","0.60"
"124698",E1203N4823,"5","0.60"
"124697",E1202N4823,"5","0.59"
"124861",E1195N4822,"15","0.49"
"125206",E1195N4820,"5","0.46"
"116412",E1200N4856,"5","0.84"
"116413",E1201N4856,"5","0.91"
"116414",E1202N4856,"10","0.93"
"116415",E1203N4856,"10","0.93"
"116418",E1209N4856,"35","0.93"
"116419",E1210N4856,"25","0.93"
"116420",E1211N4856,"15","0.93"
"116421",E1213N4856,"20","0.93"
"116422",E1214N4856,"5","0.93"
"116423",E1215N4856,"5","0.93"
"116424",E1216N4856,"5","0.94"
"116425",E1217N4856,"5","0.96"
"116426",E1218N4856,"5","0.98"
"116427",E1219N4856,"10","1.00"
"116428",E1220N4856,"10","0.94"
"116429",E1222N4856,"10","0.93"
"116430",E1223N4856,"25","0.86"
"116432",E1225N4856,"45","0.81"
"116433",E1226N4856,"50","0.87"
"116434",E1227N4856,"25","0.87"
"116435",E1228N4856,"10","0.96"
"116436",E1229N4856,"5","0.99"
"116437",E1230N4856,"30","1.00"
"116438",E1231N4856,"30","1.00"
"116439",E1232N4856,"45","1.00"
"116440",E1233N4856,"40","1.00"
"116441",E1234N4856,"50","1.00"
"116442",E1235N4856,"25","1.00"
"116445",E1239N4856,"5","0.93"
"116446",E1240N4856,"15","0.93"
"116447",E1241N4856,"30","0.93"
"116448",E1242N4856,"10","0.93"
"116449",E1243N4856,"15","0.93"
"116450",E1244N4856,"15","0.93"
"116453",E1248N4856,"10","0.77"
"116454",E1249N4856,"10","0.67"
"118876",E1203N4848,"5","0.93"
"118880",E1207N4848,"5","0.93"
"118882",E1209N4848,"25","0.93"
"118883",E1210N4848,"25","0.93"
"118884",E1211N4848,"20","0.96"
"118885",E1212N4848,"15","0.98"
"118886",E1213N4848,"55","0.96"
"118887",E1214N4848,"45","0.93"
"118888",E1215N4848,"55","0.92"
"118889",E1216N4848,"60","0.87"
"118890",E1217N4848,"35","0.89"
"118891",E1218N4848,"50","0.89"
"118892",E1219N4848,"65","0.87"
"118893",E1220N4848,"50","0.86"
"118894",E1221N4848,"30","0.80"
"118895",E1222N4848,"60","0.80"
"118896",E1223N4848,"75","0.80"
"118897",E1224N4848,"10","0.80"
"118898",E1226N4848,"15","0.80"
"118899",E1227N4848,"20","0.85"
"118900",E1229N4848,"30","0.91"
"118901",E1230N4848,"5","0.93"
"118902",E1231N4848,"5","0.93"
"118903",E1232N4848,"20","0.89"
"118904",E1233N4848,"30","0.87"
"118905",E1235N4848,"10","0.93"
"118908",E1243N4848,"10","0.80"
