fid,crs28992re,avg_woz,1COR_DEN_INDEX_WALK
"123960",E1195N4827,"521","0.71"
"123961",E1196N4827,"464","0.73"
"123962",E1197N4827,"364","0.73"
"123963",E1198N4827,"351","0.74"
"123964",E1199N4827,"350","0.80"
"123965",E1200N4827,"335","0.80"
"123502",E1200N4829,"361","0.80"
"123501",E1199N4829,"347","0.77"
"123500",E1198N4829,"338","0.73"
"123499",E1197N4829,"326","0.73"
"123261",E1200N4830,"365","0.79"
"123260",E1199N4830,"364","0.74"
"123259",E1198N4830,"361","0.73"
"123258",E1197N4830,"357","0.73"
"123035",E1200N4831,"378","0.75"
"123034",E1199N4831,"359","0.73"
"123033",E1198N4831,"401","0.73"
"122812",E1200N4832,"992","0.73"
"122811",E1199N4832,"669","0.73"
"122810",E1198N4832,"614","0.72"
"122809",E1197N4832,"612","0.67"
"122597",E1199N4833,"656","0.73"
"122596",E1198N4833,"908","0.70"
"121494",E1196N4838,"532","0.73"
"121493",E1195N4838,"385","0.68"
"124863",E1197N4822,"319","0.53"
"124864",E1198N4822,"370","0.52"
"124705",E1210N4823,"815","0.57"
"124704",E1209N4823,"737","0.54"
"124703",E1208N4823,"559","0.53"
"124702",E1207N4823,"325","0.55"
"124701",E1206N4823,"319","0.59"
"124700",E1205N4823,"477","0.60"
"124699",E1204N4823,"476","0.60"
"124698",E1203N4823,"320","0.60"
"124697",E1202N4823,"327","0.59"
"124696",E1201N4823,"447","0.54"
"124695",E1200N4823,"305","0.54"
"124693",E1195N4823,"373","0.53"
"124533",E1196N4824,"359","0.53"
"124160",E1195N4826,"1076","0.63"
"124861",E1195N4822,"341","0.49"
"125024",E1195N4821,"356","0.47"
"116411",E1199N4856,"3265","0.80"
"116412",E1200N4856,"1443","0.84"
"116413",E1201N4856,"1058","0.91"
"116414",E1202N4856,"1445","0.93"
"116415",E1203N4856,"896","0.93"
"116416",E1207N4856,"1500","0.93"
"116417",E1208N4856,"1006","0.93"
"116418",E1209N4856,"450","0.93"
"116419",E1210N4856,"514","0.93"
"116420",E1211N4856,"606","0.93"
"116421",E1213N4856,"424","0.93"
"116422",E1214N4856,"364","0.93"
"116423",E1215N4856,"639","0.93"
"116424",E1216N4856,"672","0.94"
"116425",E1217N4856,"557","0.96"
"116426",E1218N4856,"674","0.98"
"116427",E1219N4856,"673","1.00"
"116428",E1220N4856,"675","0.94"
"116429",E1222N4856,"713","0.93"
"116430",E1223N4856,"555","0.86"
"116431",E1224N4856,"552","0.80"
"116432",E1225N4856,"392","0.81"
"116433",E1226N4856,"424","0.87"
"116434",E1227N4856,"370","0.87"
"116435",E1228N4856,"401","0.96"
"116436",E1229N4856,"405","0.99"
"116437",E1230N4856,"497","1.00"
"116438",E1231N4856,"495","1.00"
"116439",E1232N4856,"404","1.00"
"116440",E1233N4856,"457","1.00"
"116441",E1234N4856,"388","1.00"
"116442",E1235N4856,"408","1.00"
"116443",E1237N4856,"633","0.93"
"116444",E1238N4856,"627","0.93"
"116445",E1239N4856,"346","0.93"
"116446",E1240N4856,"515","0.93"
"116447",E1241N4856,"560","0.93"
"116448",E1242N4856,"589","0.93"
